currency_name,buying_rate,average_rate,selling_rate,post_date
EUR,775.151889,781.403114,787.654339,1/2/2012
EUR,775.067221,781.317763,787.568305,1/3/2012
EUR,781.778797,788.083465,794.388133,1/4/2012
EUR,777.828768,784.101581,790.374394,1/5/2012
EUR,769.875545,776.084219,782.292893,1/6/2012
EUR,767.170771,773.357632,779.544493,1/9/2012
EUR,765.630812,771.805254,777.979696,1/10/2012
EUR,765.58149,771.755534,777.929578,1/11/2012
EUR,761.43818,767.57881,773.71944,1/12/2012
EUR,764.882707,771.051116,777.219525,1/13/2012
EUR,766.332033,772.51213,778.692227,1/16/2012
EUR,766.429852,772.610738,778.791624,1/17/2012
EUR,765.530293,771.703924,777.877555,1/18/2012
EUR,763.087897,769.241832,775.395767,1/19/2012
EUR,773.346387,779.583051,785.819715,1/20/2012
EUR,773.466258,779.703889,785.94152,1/23/2012
EUR,773.607079,779.845846,786.084613,1/24/2012
EUR,779.582535,785.869491,792.156447,1/25/2012
EUR,777.225813,783.493763,789.761713,1/26/2012
EUR,788.341725,794.69932,801.056915,1/27/2012
EUR,787.766541,794.119497,800.472453,1/30/2012
EUR,787.430779,793.781027,800.131275,1/31/2012
EUR,787.477619,793.828245,800.178871,2/2/2012
EUR,787.484158,793.834837,800.185516,2/3/2012
EUR,788.982986,795.345752,801.708518,2/6/2012
EUR,783.042658,789.357518,795.672378,2/7/2012
EUR,786.700895,793.045257,799.389619,2/8/2012
EUR,796.778365,803.203997,809.629629,2/9/2012
EUR,795.217177,801.630219,808.043261,2/10/2012
EUR,795.153792,801.566323,807.978854,2/13/2012
EUR,796.615659,803.039979,809.464299,2/14/2012
EUR,793.098518,799.494474,805.89043,2/15/2012
EUR,790.023528,796.394685,802.765842,2/16/2012
EUR,781.179531,787.479366,793.779201,2/17/2012
EUR,789.337767,795.703394,802.069021,2/20/2012
EUR,789.028037,795.391166,801.754295,2/21/2012
EUR,792.569682,798.961373,805.353064,2/22/2012
EUR,792.715208,799.108073,805.500938,2/23/2012
EUR,797.726475,804.159753,810.593031,2/24/2012
EUR,805.009117,811.501126,817.993135,2/27/2012
EUR,805.680408,812.177831,818.675254,2/28/2012
EUR,807.61912,814.132177,820.645234,2/29/2012
EUR,808.358809,814.877832,821.396855,3/1/2012
EUR,801.723665,808.189178,814.654691,3/2/2012
EUR,795.770723,802.188229,808.605735,3/5/2012
EUR,792.706694,799.09949,805.492286,3/6/2012
EUR,789.77639,796.145554,802.514718,3/7/2012
EUR,789.896664,796.266798,802.636932,3/8/2012
EUR,797.108476,803.53677,809.965064,3/9/2012
EUR,795.363071,801.777289,808.191507,3/12/2012
EUR,789.743094,796.11199,802.480886,3/13/2012
EUR,789.178517,795.54286,801.907203,3/14/2012
EUR,786.867231,793.212934,799.558637,3/15/2012
EUR,785.793246,792.130288,798.46733,3/16/2012
EUR,787.033847,793.380894,799.727941,3/19/2012
EUR,792.18872,798.577339,804.965958,3/20/2012
EUR,793.85272,800.254758,806.656796,3/21/2012
