currency_name,buying_rate,average_rate,selling_rate,post_date
TZS,0.384747,0.38785,0.390953,1/2/2012
TZS,0.384629,0.387731,0.390833,1/3/2012
TZS,0.384087,0.387184,0.390281,1/4/2012
TZS,0.384208,0.387306,0.390404,1/5/2012
TZS,0.382206,0.385288,0.38837,1/6/2012
TZS,0.380092,0.383157,0.386222,1/9/2012
TZS,0.381555,0.384632,0.387709,1/10/2012
TZS,0.383699,0.386793,0.389887,1/11/2012
TZS,0.384044,0.387141,0.390238,1/12/2012
TZS,0.384666,0.387768,0.39087,1/13/2012
TZS,0.381557,0.384634,0.387711,1/16/2012
TZS,0.382849,0.385936,0.389023,1/17/2012
TZS,0.383497,0.38659,0.389683,1/18/2012
TZS,0.382333,0.385416,0.388499,1/19/2012
TZS,0.382136,0.385218,0.3883,1/20/2012
TZS,0.383342,0.386433,0.389524,1/23/2012
TZS,0.383441,0.386533,0.389625,1/24/2012
TZS,0.381625,0.384703,0.387781,1/25/2012
TZS,0.38166,0.384738,0.387816,1/26/2012
TZS,0.380732,0.383802,0.386872,1/27/2012
TZS,0.382145,0.385227,0.388309,1/30/2012
TZS,0.382244,0.385327,0.38841,1/31/2012
TZS,0.382266,0.385349,0.388432,2/2/2012
TZS,0.381447,0.384523,0.387599,2/3/2012
TZS,0.382354,0.385438,0.388522,2/6/2012
TZS,0.382549,0.385634,0.388719,2/7/2012
TZS,0.381794,0.384873,0.387952,2/8/2012
TZS,0.380711,0.383781,0.386851,2/9/2012
TZS,0.381549,0.384626,0.387703,2/10/2012
TZS,0.381945,0.385025,0.388105,2/13/2012
TZS,0.382624,0.38571,0.388796,2/14/2012
TZS,0.383116,0.386206,0.389296,2/15/2012
TZS,0.383098,0.386187,0.389276,2/16/2012
TZS,0.382691,0.385777,0.388863,2/17/2012
TZS,0.382366,0.38545,0.388534,2/20/2012
TZS,0.382121,0.385203,0.388285,2/21/2012
TZS,0.381609,0.384686,0.387763,2/22/2012
TZS,0.381303,0.384378,0.387453,2/23/2012
TZS,0.382058,0.385139,0.38822,2/24/2012
TZS,0.384109,0.387207,0.390305,2/27/2012
TZS,0.384427,0.387527,0.390627,2/28/2012
TZS,0.383231,0.386322,0.389413,2/29/2012
TZS,0.383386,0.386478,0.38957,3/1/2012
TZS,0.38325,0.386341,0.389432,3/2/2012
TZS,0.381427,0.384503,0.387579,3/5/2012
TZS,0.381312,0.384387,0.387462,3/6/2012
TZS,0.381465,0.384541,0.387617,3/7/2012
TZS,0.381465,0.384541,0.387617,3/8/2012
TZS,0.383324,0.386415,0.389506,3/9/2012
TZS,0.382963,0.386051,0.389139,3/12/2012
TZS,0.383176,0.386266,0.389356,3/13/2012
TZS,0.383565,0.386658,0.389751,3/14/2012
TZS,0.383402,0.386494,0.389586,3/15/2012
TZS,0.382785,0.385872,0.388959,3/16/2012
TZS,0.385862,0.388974,0.392086,3/19/2012
TZS,0.384836,0.38794,0.391044,3/20/2012
TZS,0.383322,0.386413,0.389504,3/21/2012
TZS,0.383641,0.386735,0.389829,3/22/2012
TZS,0.383471,0.386564,0.389657,3/23/2012
TZS,0.384874,0.387978,0.391082,3/26/2012
TZS,0.385248,0.388355,0.391462,3/27/2012
TZS,0.384817,0.38792,0.391023,3/28/2012
TZS,0.38318,0.38627,0.38936,3/29/2012
TZS,0.38295,0.386038,0.389126,3/30/2012
TZS,0.383787,0.386882,0.389977,4/2/2012
TZS,0.383633,0.386727,0.389821,4/3/2012
TZS,0.383478,0.386571,0.389664,4/4/2012
TZS,0.38335,0.386442,0.389534,4/5/2012
TZS,0.380266,0.383333,0.3864,4/9/2012
TZS,0.386462,0.389579,0.392696,4/10/2012
TZS,0.386485,0.389602,0.392719,4/11/2012
TZS,0.386215,0.38933,0.392445,4/12/2012
