Code_No,items,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1
1,Food crops,373,363,366,410,411,376,336,328,364,447,475,593,651,667,672,739,675,656,610,687,696
1,Export crops,27,23,37,39,28,24,41,40,36,42,65,67,42,39,55,63,52,46,102,57,67
1,Livestock & livestock products,71,77,81,84,83,90,92,95,103,110,119,125,129,138,145,149,159,167,179,196,219
1,Forestry,145,144,150,138,158,163,163,164,194,204,199,218,219,222,217,222,233,238,239,247,251
1,Fishing,9,5,8,10,9,10,11,11,12,13,14,16,14,14,15,15,15,18,22,19,18
2,Mining & quarrying,31,24,33,33,43,63,89,112,102,110,90,87,84,93,97,100,109,113,144,123,129
2,Food,67,80,68,67,91,83,80,94,111,139,138,187,180,146,162,217,161,143,114,198,195
2,Beverages & tobacco,51,46,53,52,57,57,62,66,67,68,76,78,79,82,91,96,110,106,117,133,138
2,"Textiles, clothing & leather goods",18,18,22,23,22,25,23,25,25,27,26,27,28,27,36,37,35,38,42,39,37
2,Wood & paper; printing,7,7,8,10,9,10,10,10,9,9,9,10,9,10,13,10,10,10,15,12,12
2,"Chemicals, rubber & plastic products",15,16,20,17,18,25,22,20,22,30,32,34,25,29,32,26,25,30,32,27,30
2,Non-metallic mineral products,11,9,13,13,10,8,18,12,12,15,21,15,15,13,22,17,17,21,23,27,20
2,"Metal products, machinery & equipment",9,9,16,16,12,14,15,13,13,15,16,15,16,16,18,16,17,20,20,20,22
2,Furniture & other manufacturing ,20,12,23,23,24,25,25,27,27,28,29,29,28,29,30,29,29,30,31,30,31
2,Electricity,22,21,23,24,22,24,24,22,20,18,14,13,10,18,15,17,15,15,21,21,21
2,Water & waste management,14,14,15,15,15,15,16,16,16,16,16,15,15,15,16,16,15,15,16,16,16
2,Construction,167,144,174,195,182,155,209,215,239,199,285,322,361,322,353,324,467,428,379,361,553
3,Maintenance & repair of motor vehicles,13,9,19,16,16,17,17,17,18,19,20,20,21,20,20,20,21,23,23,25,25
3,Wholesale & retail trade,207,165,214,209,218,238,274,310,286,329,372,369,373,421,465,473,525,527,696,602,701
3,Transport,142,97,139,167,149,144,144,165,176,201,204,224,180,195,214,261,244,278,290,312,285
3,Hotels & restaurants,37,14,18,22,23,18,29,37,43,54,49,42,43,37,41,52,76,71,50,68,87
3,Information & communication,36,45,56,57,41,59,55,61,42,56,47,55,52,61,55,83,76,67,67,81,87
3,Financial services,57,52,63,48,63,68,66,84,80,81,100,108,83,103,108,96,87,77,96,89,95
3,Real estate activities,157,148,163,176,164,165,174,180,179,174,177,181,238,183,194,201,195,192,205,213,202
3,"Professional, scientific & technical activities",52,53,55,59,58,64,61,66,65,73,71,79,74,84,91,93,81,93,89,104,100
3,Administrative & support service activities,80,76,80,78,78,84,85,87,88,93,102,103,107,107,118,122,113,129,136,131,121
3,Public administration & defense; compulsory social security,141,130,152,140,141,142,157,150,162,156,212,191,197,211,237,238,211,225,279,316,266
3,Education,67,23,27,49,79,67,89,90,102,102,135,154,150,169,185,203,184,184,185,193,194
3,Human health & social work activities,50,46,40,46,42,56,40,52,48,53,40,40,35,42,38,36,43,32,42,46,44
3,"Cultural, domestic & other services",115,117,124,126,126,133,134,141,137,146,155,161,158,173,186,252,193,207,200,238,225
4,Taxes less subsidies on products,194,186,190,207,194,243,195,226,225,255,276,252,288,288,305,277,293,322,342,341,368
